Team1,Team1Goals,Team2Goals,Team2,Winner,Losser
USA,1,1,Panama,TIEUSAPanama,TIEUSAPanama
Canada,0,0,CostaRica,TIECanadaCostaRica,TIECanadaCostaRica
Jamaica,1,0,ElSalvador,Jamaica,ElSalvador
Guatemala,0,1,Cuba,Cuba,Guatemala
TrinidadandTobago,4,4,Mexico,TIETrinidadandTobagoMexico,TIETrinidadandTobagoMexico
Haiti,0,1,Jamaica,Jamaica,Haiti
USA,6,0,Cuba,USA,Cuba
Mexico,1,0,CostaRica,Mexico,CostaRica
TrinidadandTobago,1,1,Panama,TIETrinidadandTobagoPanama,TIETrinidadandTobagoPanama
Panama,1,2,Mexico,Mexico,Panama
USA,1,2,Jamaica,Jamaica,USA
USA,1,1,Panama,TIEUSAPanama,TIEUSAPanama
Jamaica,1,3,Mexico,Mexico,Jamaica
China,0,2,SouthKorea,SouthKorea,China
KoreaDPR,2,1,Japan,KoreaDPR,Japan
China,2,0,KoreaDPR,China,KoreaDPR
Japan,1,1,SouthKorea,TIEJapanSouthKorea,TIEJapanSouthKorea
China,1,1,Japan,TIEChinaJapan,TIEChinaJapan
SouthKorea,0,0,KoreaDPR,TIESouthKoreaKoreaDPR,TIESouthKoreaKoreaDPR
Fiji,5,0,Tonga,Fiji,Tonga
Cambodia,2,0,Bhutan,Cambodia,Bhutan
Lebanon,2,3,Iraq,Iraq,Lebanon
Fiji,6,0,AmericanSamoa,Fiji,AmericanSamoa
Oman,1,0,Yemen,Oman,Yemen
Qatar,4,0,Singapore,Qatar,Singapore
Rwanda,3,1,Ethiopia,Rwanda,Ethiopia
Tanzania,1,2,Libya,Libya,Tanzania
UnitedArabEmirates,1,0,Burma,UnitedArabEmirates,Burma
Laos,2,1,Cambodia,Laos,Cambodia
Malaysia,0,0,Bangladesh,TIEMalaysiaBangladesh,TIEMalaysiaBangladesh
Niger,0,0,BurkinaFaso,TIENigerBurkinaFaso,TIENigerBurkinaFaso
India,0,0,Nepal,TIEIndiaNepal,TIEIndiaNepal
Lebanon,0,0,Palestine,TIELebanonPalestine,TIELebanonPalestine
Samoa,3,2,AmericanSamoa,Samoa,AmericanSamoa
Tonga,0,3,CookIslands,CookIslands,Tonga
Congo,2,3,Ghana,Ghana,Congo
CookIslands,1,0,Samoa,CookIslands,Samoa
Tonga,1,2,AmericanSamoa,AmericanSamoa,Tonga
Australia,5,0,Bangladesh,Australia,Bangladesh
Azerbaijan,0,0,Croatia,TIEAzerbaijanCroatia,TIEAzerbaijanCroatia
Bahrain,0,1,KoreaDPR,KoreaDPR,Bahrain
Belgium,3,1,BosniaHerzegovina,Belgium,BosniaHerzegovina
Bulgaria,0,1,Norway,Norway,Bulgaria
China,0,0,HongKong,TIEChinaHongKong,TIEChinaHongKong
Cyprus,0,1,Wales,Wales,Cyprus
CzechRepublic,2,1,Kazakhstan,CzechRepublic,Kazakhstan
Iran,6,0,Guam,Iran,Guam
Iraq,5,1,Taiwan,Iraq,Taiwan
Israel,4,0,Andorra,Israel,Andorra
Italy,1,0,Malta,Italy,Malta
Japan,3,0,Cambodia,Japan,Cambodia
Jordan,0,0,Kyrgyzstan,TIEJordanKyrgyzstan,TIEJordanKyrgyzstan
SouthKorea,8,0,Laos,SouthKorea,Laos
Kuwait,9,0,Burma,Kuwait,Burma
Netherlands,0,1,Iceland,Iceland,Netherlands
Oman,3,1,Turkmenistan,Oman,Turkmenistan
Philippines,2,0,Maldives,Philippines,Maldives
Qatar,15,0,Bhutan,Qatar,Bhutan
SaudiArabia,7,0,EastTimor,SaudiArabia,EastTimor
Syria,1,0,Singapore,Syria,Singapore
Thailand,2,0,Afghanistan,Thailand,Afghanistan
Turkey,1,1,Latvia,TIETurkeyLatvia,TIETurkeyLatvia
UnitedArabEmirates,10,0,Malaysia,UnitedArabEmirates,Malaysia
Uzbekistan,1,0,Yemen,Uzbekistan,Yemen
AmericanSamoa,2,0,CookIslands,AmericanSamoa,CookIslands
Curasao,0,1,ElSalvador,ElSalvador,Curasao
Denmark,0,0,Albania,TIEDenmarkAlbania,TIEDenmarkAlbania
Djibouti,0,2,Togo,Togo,Djibouti
FaroeIslands,1,3,NorthernIreland,NorthernIreland,FaroeIslands
Georgia,1,0,Scotland,Georgia,Scotland
Germany,3,1,Poland,Germany,Poland
Gibraltar,0,4,Ireland,Ireland,Gibraltar
Greece,0,1,Finland,Finland,Greece
Grenada,1,3,Haiti,Haiti,Grenada
Hungary,0,0,Romania,TIEHungaryRomania,TIEHungaryRomania
Portugal,0,1,France,France,Portugal
Serbia,2,0,Armenia,Serbia,Armenia
Tonga,0,3,Samoa,Samoa,Tonga
Venezuela,0,3,Honduras,Honduras,Venezuela
Austria,1,0,Moldova,Austria,Moldova
Botswana,1,0,BurkinaFaso,Botswana,BurkinaFaso
Chile,3,2,Paraguay,Chile,Paraguay
Comoros,0,1,Uganda,Uganda,Comoros
CostaRica,0,1,Brazil,Brazil,CostaRica
Estonia,1,0,Lithuania,Estonia,Lithuania
Gabon,4,0,Sudan,Gabon,Sudan
GuineaBissau,2,4,Congo,Congo,GuineaBissau
Liberia,1,0,Tunisia,Liberia,Tunisia
Luxembourg,1,0,Macedonia,Luxembourg,Macedonia
Mauritania,3,1,SouthAfrica,Mauritania,SouthAfrica
Montenegro,2,0,Liechtenstein,Montenegro,Liechtenstein
Namibia,0,2,Senegal,Senegal,Namibia
Russia,1,0,Sweden,Russia,Sweden
Rwanda,0,1,Ghana,Ghana,Rwanda
SanMarino,0,6,England,England,SanMarino
Saeo,0,3,Morocco,Morocco,Saeo
Seychelles,1,1,Ethiopia,TIESeychellesEthiopia,TIESeychellesEthiopia
SouthSudan,1,0,EquatorialGuinea,SouthSudan,EquatorialGuinea
Spain,2,0,Slovakia,Spain,Slovakia
Switzerland,3,2,Slovenia,Switzerland,Slovenia
Tanzania,0,0,Nigeria,TIETanzaniaNigeria,TIETanzaniaNigeria
Ukraine,3,1,Belarus,Ukraine,Belarus
BosniaHerzegovina,3,0,Andorra,BosniaHerzegovina,Andorra
CentralAfricanRepublic,2,0,CongoDR,CentralAfricanRepublic,CongoDR
Chad,1,5,Egypt,Egypt,Chad
Cyprus,0,1,Belgium,Belgium,Cyprus
Iceland,0,0,Kazakhstan,TIEIcelandKazakhstan,TIEIcelandKazakhstan
Italy,1,0,Bulgaria,Italy,Bulgaria
Latvia,1,2,CzechRepublic,CzechRepublic,Latvia
Lesotho,1,3,Algeria,Algeria,Lesotho
Libya,1,2,CapeVerde,CapeVerde,Libya
Madagascar,0,0,Angola,TIEMadagascarAngola,TIEMadagascarAngola
Malta,2,2,Azerbaijan,TIEMaltaAzerbaijan,TIEMaltaAzerbaijan
Mauritius,1,0,Mozambique,Mauritius,Mozambique
Norway,2,0,Croatia,Norway,Croatia
SierraLeone,0,0,IvoryCoast,TIESierraLeoneIvoryCoast,TIESierraLeoneIvoryCoast
Swaziland,2,2,Malawi,TIESwazilandMalawi,TIESwazilandMalawi
Turkey,3,0,Netherlands,Turkey,Netherlands
Wales,0,0,Israel,TIEWalesIsrael,TIEWalesIsrael
Albania,0,1,Portugal,Portugal,Albania
Armenia,0,0,Denmark,TIEArmeniaDenmark,TIEArmeniaDenmark
Burma,1,1,NewZealand,TIEBurmaNewZealand,TIEBurmaNewZealand
Finland,1,0,FaroeIslands,Finland,FaroeIslands
France,2,1,Serbia,France,Serbia
Ireland,1,0,Georgia,Ireland,Georgia
NorthernIreland,1,1,Hungary,TIENorthernIrelandHungary,TIENorthernIrelandHungary
Poland,8,1,Gibraltar,Poland,Gibraltar
Romania,0,0,Greece,TIERomaniaGreece,TIERomaniaGreece
Scotland,2,3,Germany,Germany,Scotland
Afghanistan,0,6,Japan,Japan,Afghanistan
Bangladesh,0,4,Jordan,Jordan,Bangladesh
Belarus,2,0,Luxembourg,Belarus,Luxembourg
Cambodia,0,6,Syria,Syria,Cambodia
China,3,0,Maldives,China,Maldives
Ecuador,2,0,Honduras,Ecuador,Honduras
ElSalvador,1,0,Curasao,ElSalvador,Curasao
England,2,0,Switzerland,England,Switzerland
Guam,0,0,Oman,TIEGuamOman,TIEGuamOman
HongKong,2,3,Qatar,Qatar,HongKong
India,0,3,Iran,Iran,India
Laos,0,2,Kuwait,Kuwait,Laos
Lebanon,0,3,SouthKorea,SouthKorea,Lebanon
Liechtenstein,0,7,Russia,Russia,Liechtenstein
Lithuania,2,1,SanMarino,Lithuania,SanMarino
Macedonia,0,1,Spain,Spain,Macedonia
Malaysia,0,3,SaudiArabia,SaudiArabia,Malaysia
Mexico,2,2,Argentina,TIEMexicoArgentina,TIEMexicoArgentina
Moldova,0,2,Montenegro,Montenegro,Moldova
Nigeria,2,0,Niger,Nigeria,Niger
Palestine,0,0,UnitedArabEmirates,TIEPalestineUnitedArabEmirates,TIEPalestineUnitedArabEmirates
Philippines,1,5,Uzbekistan,Uzbekistan,Philippines
Slovakia,0,0,Ukraine,TIESlovakiaUkraine,TIESlovakiaUkraine
Slovenia,1,0,Estonia,Slovenia,Estonia
SouthAfrica,1,0,Senegal,SouthAfrica,Senegal
Sweden,1,4,Austria,Austria,Sweden
Tajikistan,0,3,Australia,Australia,Tajikistan
Thailand,2,2,Iraq,TIEThailandIraq,TIEThailandIraq
Venezuela,1,1,Panama,TIEVenezuelaPanama,TIEVenezuelaPanama
Yemen,0,4,Bahrain,Bahrain,Yemen
Zambia,1,1,Gabon,TIEZambiaGabon,TIEZambiaGabon
Rwanda,0,1,Gabon,Gabon,Rwanda
Botswana,2,3,Ethiopia,Ethiopia,Botswana
Oman,2,1,Syria,Oman,Syria
Jordan,3,0,Iraq,Jordan,Iraq
Comoros,0,0,Lesotho,TIEComorosLesotho,TIEComorosLesotho
Mauritius,2,5,Kenya,Kenya,Mauritius
Seychelles,0,1,Burundi,Burundi,Seychelles
SouthSudan,1,1,Mauritania,TIESouthSudanMauritania,TIESouthSudanMauritania
Tanzania,2,0,Malawi,Tanzania,Malawi
Albania,0,2,Serbia,Serbia,Albania
Argentina,0,2,Ecuador,Ecuador,Argentina
Bahrain,0,4,Uzbekistan,Uzbekistan,Bahrain
Bhutan,3,4,Maldives,Maldives,Bhutan
Bolivia,0,0,Uruguay,TIEBoliviaUruguay,TIEBoliviaUruguay
Burma,0,2,Lebanon,Lebanon,Burma
Chile,2,0,Brazil,Chile,Brazil
Colombia,2,0,Peru,Colombia,Peru
EastTimor,0,3,Palestine,Palestine,EastTimor
France,4,0,Armenia,France,Armenia
Georgia,4,0,Gibraltar,Georgia,Gibraltar
Hungary,2,1,FaroeIslands,Hungary,FaroeIslands
Ireland,1,0,Germany,Ireland,Germany
Jordan,2,0,Australia,Jordan,Australia
KoreaDPR,0,0,Philippines,TIEKoreaDPRPhilippines,TIEKoreaDPRPhilippines
Kuwait,0,1,SouthKorea,SouthKorea,Kuwait
Kyrgyzstan,2,2,Tajikistan,TIEKyrgyzstanTajikistan,TIEKyrgyzstanTajikistan
Laos,1,3,Malaysia,Malaysia,Laos
Liberia,1,1,GuineaBissau,TIELiberiaGuineaBissau,TIELiberiaGuineaBissau
Nigeria,0,2,CongoDR,CongoDR,Nigeria
NorthernIreland,3,1,Greece,NorthernIreland,Greece
Oman,1,1,Iran,TIEOmanIran,TIEOmanIran
Portugal,1,0,Denmark,Portugal,Denmark
Qatar,1,0,China,Qatar,China
Romania,1,1,Finland,TIERomaniaFinland,TIERomaniaFinland
Saeo,1,0,Ethiopia,Saeo,Ethiopia
SaudiArabia,2,1,UnitedArabEmirates,SaudiArabia,UnitedArabEmirates
Scotland,2,2,Poland,TIEScotlandPoland,TIEScotlandPoland
Singapore,1,0,Afghanistan,Singapore,Afghanistan
Syria,0,3,Japan,Japan,Syria
Turkmenistan,2,1,India,Turkmenistan,India
Venezuela,0,1,Paraguay,Paraguay,Venezuela
Vietnam,1,1,Iraq,TIEVietnamIraq,TIEVietnamIraq
Algeria,1,2,Guinea,Guinea,Algeria
BurkinaFaso,1,4,Mali,Mali,BurkinaFaso
Djibouti,0,6,Swaziland,Swaziland,Djibouti
England,2,0,Estonia,England,Estonia
Gambia,1,1,Namibia,TIEGambiaNamibia,TIEGambiaNamibia
Liechtenstein,0,2,Sweden,Sweden,Liechtenstein
Macedonia,0,2,Ukraine,Ukraine,Macedonia
Moldova,1,2,Russia,Russia,Moldova
Montenegro,2,3,Austria,Austria,Montenegro
Morocco,0,1,IvoryCoast,IvoryCoast,Morocco
Slovakia,0,1,Belarus,Belarus,Slovakia
Slovenia,1,1,Lithuania,TIESloveniaLithuania,TIESloveniaLithuania
Somalia,0,2,Niger,Niger,Somalia
Spain,4,0,Luxembourg,Spain,Luxembourg
Switzerland,7,0,SanMarino,Switzerland,SanMarino
Thailand,1,0,HongKong,Thailand,HongKong
Tunisia,3,3,Gabon,TIETunisiaGabon,TIETunisiaGabon
Andorra,1,4,Belgium,Belgium,Andorra
Azerbaijan,1,3,Italy,Italy,Azerbaijan
BosniaHerzegovina,2,0,Wales,BosniaHerzegovina,Wales
Chad,1,0,SierraLeone,Chad,SierraLeone
Croatia,3,0,Bulgaria,Croatia,Bulgaria
CzechRepublic,0,2,Turkey,Turkey,CzechRepublic
Eritrea,0,2,Botswana,Botswana,Eritrea
Iceland,2,2,Latvia,TIEIcelandLatvia,TIEIcelandLatvia
Israel,1,2,Cyprus,Cyprus,Israel
Kazakhstan,1,2,Netherlands,Netherlands,Kazakhstan
Kosovo,2,0,EquatorialGuinea,Kosovo,EquatorialGuinea
Madagascar,3,0,CentralAfricanRepublic,Madagascar,CentralAfricanRepublic
Norway,2,0,Malta,Norway,Malta
USA,2,3,Mexico,Mexico,USA
Armenia,0,3,Albania,Albania,Armenia
Denmark,1,2,France,France,Denmark
Egypt,3,0,Zambia,Egypt,Zambia
Ethiopia,3,0,Saeo,Ethiopia,Saeo
FaroeIslands,0,3,Romania,Romania,FaroeIslands
Finland,1,1,NorthernIreland,TIEFinlandNorthernIreland,TIEFinlandNorthernIreland
Germany,2,1,Georgia,Germany,Georgia
Gibraltar,0,6,Scotland,Scotland,Gibraltar
Greece,4,3,Hungary,Greece,Hungary
Kenya,0,0,Mauritius,TIEKenyaMauritius,TIEKenyaMauritius
Malawi,1,0,Tanzania,Malawi,Tanzania
Nigeria,3,0,Cameroon,Nigeria,Cameroon
Poland,2,1,Ireland,Poland,Ireland
Serbia,1,2,Portugal,Portugal,Serbia
Austria,3,0,Liechtenstein,Austria,Liechtenstein
Belarus,0,0,Macedonia,TIEBelarusMacedonia,TIEBelarusMacedonia
Estonia,0,1,Switzerland,Switzerland,Estonia
Gabon,1,2,CongoDR,CongoDR,Gabon
Lithuania,0,3,England,England,Lithuania
Luxembourg,2,4,Slovakia,Slovakia,Luxembourg
Morocco,1,1,Guinea,TIEMoroccoGuinea,TIEMoroccoGuinea
Russia,2,0,Montenegro,Russia,Montenegro
SanMarino,0,2,Slovenia,Slovenia,SanMarino
Sweden,2,0,Moldova,Sweden,Moldova
Ukraine,0,1,Spain,Spain,Ukraine
Algeria,1,0,Senegal,Algeria,Senegal
Bahrain,2,0,Philippines,Bahrain,Philippines
Belgium,3,1,Israel,Belgium,Israel
Bhutan,0,1,HongKong,HongKong,Bhutan
Botswana,3,1,Eritrea,Botswana,Eritrea
Brazil,3,1,Venezuela,Brazil,Venezuela
Bulgaria,2,0,Azerbaijan,Bulgaria,Azerbaijan
Burma,3,1,Laos,Burma,Laos
Burundi,2,0,Seychelles,Burundi,Seychelles
Congo,2,1,Benin,Congo,Benin
Cyprus,2,3,BosniaHerzegovina,BosniaHerzegovina,Cyprus
EastTimor,0,3,Malaysia,Malaysia,EastTimor
Ecuador,2,0,Bolivia,Ecuador,Bolivia
ElSalvador,1,1,Guatemala,TIEElSalvadorGuatemala,TIEElSalvadorGuatemala
GuineaBissau,1,3,Liberia,Liberia,GuineaBissau
Iran,1,1,Japan,TIEIranJapan,TIEIranJapan
Italy,2,1,Norway,Italy,Norway
Jordan,3,0,Tajikistan,Jordan,Tajikistan
KoreaDPR,1,0,Yemen,KoreaDPR,Yemen
SouthKorea,3,0,Jamaica,SouthKorea,Jamaica
Kuwait,0,0,Lebanon,TIEKuwaitLebanon,TIEKuwaitLebanon
Kyrgyzstan,2,0,Bangladesh,Kyrgyzstan,Bangladesh
Latvia,0,1,Kazakhstan,Kazakhstan,Latvia
Lesotho,1,1,Comoros,TIELesothoComoros,TIELesothoComoros
Madagascar,2,2,CentralAfricanRepublic,TIEMadagascarCentralAfricanRepublic,TIEMadagascarCentralAfricanRepublic
Malta,0,1,Croatia,Croatia,Malta
Mauritania,4,0,SouthSudan,Mauritania,SouthSudan
Namibia,2,1,Gambia,Namibia,Gambia
Netherlands,2,3,CzechRepublic,CzechRepublic,Netherlands
Niger,4,0,Somalia,Niger,Somalia
Oman,3,0,India,Oman,India
Paraguay,0,0,Argentina,TIEParaguayArgentina,TIEParaguayArgentina
Peru,3,4,Chile,Chile,Peru
Qatar,4,0,Maldives,Qatar,Maldives
SierraLeone,2,1,Chad,SierraLeone,Chad
Singapore,2,1,Cambodia,Singapore,Cambodia
Syria,5,2,Afghanistan,Syria,Afghanistan
Turkey,1,0,Iceland,Turkey,Iceland
Turkmenistan,1,0,Guam,Turkmenistan,Guam
Uruguay,3,0,Colombia,Uruguay,Colombia
Vietnam,0,3,Thailand,Thailand,Vietnam
Wales,2,0,Andorra,Wales,Andorra
Niger,2,0,Togo,Niger,Togo
Nigeria,2,0,BurkinaFaso,Nigeria,BurkinaFaso
SouthAfrica,0,2,Angola,Angola,SouthAfrica
Swaziland,2,1,Djibouti,Swaziland,Djibouti
Uganda,2,0,Sudan,Uganda,Sudan
Zambia,3,0,Mozambique,Zambia,Mozambique
Cameroon,0,0,Congo,TIECameroonCongo,TIECameroonCongo
Ghana,2,1,IvoryCoast,Ghana,IvoryCoast
Mali,2,1,Mauritania,Mali,Mauritania
Zimbabwe,3,1,Lesotho,Zimbabwe,Lesotho
Tunisia,1,0,Libya,Tunisia,Libya
Libya,0,4,Morocco,Morocco,Libya
Angola,1,2,SouthAfrica,SouthAfrica,Angola
Gabon,0,1,Chad,Chad,Gabon
Mauritania,1,1,Mali,TIEMauritaniaMali,TIEMauritaniaMali
Senegal,3,1,Guinea,Senegal,Guinea
BurkinaFaso,0,0,Nigeria,TIEBurkinaFasoNigeria,TIEBurkinaFasoNigeria
Ethiopia,3,0,Burundi,Ethiopia,Burundi
Lesotho,1,1,Zimbabwe,TIELesothoZimbabwe,TIELesothoZimbabwe
Mozambique,1,1,Zambia,TIEMozambiqueZambia,TIEMozambiqueZambia
Sudan,0,2,Uganda,Uganda,Sudan
Togo,1,1,Niger,TIETogoNiger,TIETogoNiger
Tunisia,2,3,Morocco,Morocco,Tunisia
IvoryCoast,1,0,Ghana,IvoryCoast,Ghana
Congo,0,1,Cameroon,Cameroon,Congo
Cambodia,6,1,Brunei,Cambodia,Brunei
UnitedArabEmirates,5,1,Turkmenistan,UnitedArabEmirates,Turkmenistan
Angola,1,0,Namibia,Angola,Namibia
CongoDR,3,0,Zambia,CongoDR,Zambia
Angola,1,0,CongoDR,Angola,CongoDR
HongKong,5,0,Burma,HongKong,Burma
Namibia,0,0,Zambia,TIENamibiaZambia,TIENamibiaZambia
Vanuatu,1,1,Fiji,TIEVanuatuFiji,TIEVanuatuFiji
Palestine,0,0,SaudiArabia,TIEPalestineSaudiArabia,TIEPalestineSaudiArabia
Vanuatu,2,1,Fiji,Vanuatu,Fiji
Estonia,3,0,Georgia,Estonia,Georgia
Jordan,2,0,Malta,Jordan,Malta
Mozambique,1,0,Gabon,Mozambique,Gabon
Sudan,0,1,Zambia,Zambia,Sudan
Afghanistan,3,0,Cambodia,Afghanistan,Cambodia
Andorra,0,1,StKittsandNevis,StKittsandNevis,Andorra
Australia,3,0,Kyrgyzstan,Australia,Kyrgyzstan
Benin,2,1,BurkinaFaso,Benin,BurkinaFaso
Bolivia,4,2,Venezuela,Bolivia,Venezuela
Burundi,2,3,CongoDR,CongoDR,Burundi
Chile,1,1,Colombia,TIEChileColombia,TIEChileColombia
China,12,0,Bhutan,China,Bhutan
Ecuador,2,1,Uruguay,Ecuador,Uruguay
India,1,0,Guam,India,Guam
Iran,3,1,Turkmenistan,Iran,Turkmenistan
SouthKorea,4,0,Burma,SouthKorea,Burma
Lebanon,7,0,Laos,Lebanon,Laos
Macedonia,4,1,Montenegro,Macedonia,Montenegro
Maldives,0,1,HongKong,HongKong,Maldives
Morocco,2,0,EquatorialGuinea,Morocco,EquatorialGuinea
Namibia,0,1,Guinea,Guinea,Namibia
Norway,0,1,Hungary,Hungary,Norway
Oman,0,1,NewZealand,NewZealand,Oman
Palestine,6,0,Malaysia,Palestine,Malaysia
Philippines,0,1,Yemen,Yemen,Philippines
Singapore,0,3,Japan,Japan,Singapore
Tajikistan,5,0,Bangladesh,Tajikistan,Bangladesh
Thailand,4,2,Taiwan,Thailand,Taiwan
Togo,0,1,Uganda,Uganda,Togo
UnitedArabEmirates,8,0,EastTimor,UnitedArabEmirates,EastTimor
Uzbekistan,3,1,KoreaDPR,Uzbekistan,KoreaDPR
Angola,1,3,SouthAfrica,SouthAfrica,Angola
Argentina,1,1,Brazil,TIEArgentinaBrazil,TIEArgentinaBrazil
Belgium,3,1,Italy,Belgium,Italy
BosniaHerzegovina,1,1,Ireland,TIEBosniaHerzegovinaIreland,TIEBosniaHerzegovinaIreland
Comoros,0,0,Ghana,TIEComorosGhana,TIEComorosGhana
CostaRica,1,0,Haiti,CostaRica,Haiti
CzechRepublic,4,1,Serbia,CzechRepublic,Serbia
France,2,0,Germany,France,Germany
Kenya,1,0,CapeVerde,Kenya,CapeVerde
Kosovo,2,2,Albania,TIEKosovoAlbania,TIEKosovoAlbania
Liberia,0,1,IvoryCoast,IvoryCoast,Liberia
Libya,1,0,Rwanda,Libya,Rwanda
Luxembourg,1,0,Greece,Luxembourg,Greece
Madagascar,2,2,Senegal,TIEMadagascarSenegal,TIEMadagascarSenegal
Mauritania,1,2,Tunisia,Tunisia,Mauritania
Niger,0,3,Cameroon,Cameroon,Niger
NorthernIreland,1,0,Latvia,NorthernIreland,Latvia
Peru,1,0,Paraguay,Peru,Paraguay
Poland,4,2,Iceland,Poland,Iceland
Qatar,1,2,Turkey,Turkey,Qatar
Slovakia,3,2,Switzerland,Slovakia,Switzerland
Spain,2,0,England,Spain,England
Swaziland,0,0,Nigeria,TIESwazilandNigeria,TIESwazilandNigeria
Wales,2,3,Netherlands,Netherlands,Wales
Botswana,2,1,Mali,Botswana,Mali
Chad,1,0,Egypt,Chad,Egypt
Ethiopia,3,4,Congo,Congo,Ethiopia
Gabon,1,0,Mozambique,Gabon,Mozambique
HongKong,2,0,Macau,HongKong,Macau
Russia,1,0,Portugal,Russia,Portugal
Sweden,2,1,Denmark,Sweden,Denmark
Tanzania,2,2,Algeria,TIETanzaniaAlgeria,TIETanzaniaAlgeria
Ukraine,2,0,Slovenia,Ukraine,Slovenia
CongoDR,3,0,Burundi,CongoDR,Burundi
EquatorialGuinea,1,0,Morocco,EquatorialGuinea,Morocco
Guinea,2,0,Namibia,Guinea,Namibia
Hungary,2,1,Norway,Hungary,Norway
Uganda,3,0,Togo,Uganda,Togo
Zambia,2,0,Sudan,Zambia,Sudan
Albania,2,2,Georgia,TIEAlbaniaGeorgia,TIEAlbaniaGeorgia
Ireland,2,0,BosniaHerzegovina,Ireland,BosniaHerzegovina
Algeria,7,0,Tanzania,Algeria,Tanzania
Austria,1,2,Switzerland,Switzerland,Austria
Azerbaijan,2,1,Moldova,Azerbaijan,Moldova
Bangladesh,0,4,Australia,Australia,Bangladesh
Bhutan,0,3,Qatar,Qatar,Bhutan
Brazil,3,0,Peru,Brazil,Peru
BurkinaFaso,2,0,Benin,BurkinaFaso,Benin
Burma,3,0,Kuwait,Burma,Kuwait
Cambodia,0,2,Japan,Japan,Cambodia
Cameroon,0,0,Niger,TIECameroonNiger,TIECameroonNiger
CapeVerde,2,0,Kenya,CapeVerde,Kenya
Colombia,0,1,Argentina,Argentina,Colombia
Congo,2,1,Ethiopia,Congo,Ethiopia
Denmark,2,2,Sweden,TIEDenmarkSweden,TIEDenmarkSweden
EastTimor,0,10,SaudiArabia,SaudiArabia,EastTimor
Egypt,4,0,Chad,Egypt,Chad
England,2,0,France,England,France
Estonia,3,0,StKittsandNevis,Estonia,StKittsandNevis
Ghana,2,0,Comoros,Ghana,Comoros
Guam,0,6,Iran,Iran,Guam
Honduras,0,2,Mexico,Mexico,Honduras
HongKong,0,0,China,TIEHongKongChina,TIEHongKongChina
Italy,2,2,Romania,TIEItalyRomania,TIEItalyRomania
IvoryCoast,3,0,Liberia,IvoryCoast,Liberia
KoreaDPR,2,0,Bahrain,KoreaDPR,Bahrain
Kyrgyzstan,1,0,Jordan,Kyrgyzstan,Jordan
Laos,0,5,SouthKorea,SouthKorea,Laos
Luxembourg,0,2,Portugal,Portugal,Luxembourg
Macedonia,0,1,Lebanon,Lebanon,Macedonia
Malaysia,1,2,UnitedArabEmirates,UnitedArabEmirates,Malaysia
Mali,2,0,Botswana,Mali,Botswana
Nigeria,2,0,Swaziland,Nigeria,Swaziland
Paraguay,2,1,Bolivia,Paraguay,Bolivia
Poland,3,1,CzechRepublic,Poland,CzechRepublic
Russia,1,3,Croatia,Croatia,Russia
Rwanda,1,3,Libya,Libya,Rwanda
Senegal,3,0,Madagascar,Senegal,Madagascar
Singapore,1,2,Syria,Syria,Singapore
Slovakia,3,1,Iceland,Slovakia,Iceland
Slovenia,1,1,Ukraine,TIESloveniaUkraine,TIESloveniaUkraine
SouthAfrica,1,0,Angola,SouthAfrica,Angola
Tunisia,2,1,Mauritania,Tunisia,Mauritania
Turkey,0,0,Greece,TIETurkeyGreece,TIETurkeyGreece
Turkmenistan,2,1,Oman,Turkmenistan,Oman
Uruguay,3,0,Chile,Uruguay,Chile
Venezuela,1,3,Ecuador,Ecuador,Venezuela
Yemen,1,3,Uzbekistan,Uzbekistan,Yemen
Burundi,1,0,Zanzibar,Burundi,Zanzibar
Ethiopia,0,1,Rwanda,Rwanda,Ethiopia
Kenya,2,0,Uganda,Kenya,Uganda
Somalia,0,4,Tanzania,Tanzania,Somalia
SouthSudan,2,0,Djibouti,SouthSudan,Djibouti
Sudan,1,2,Malawi,Malawi,Sudan
Rwanda,1,2,Tanzania,Tanzania,Rwanda
Zanzibar,0,4,Uganda,Uganda,Zanzibar
Ethiopia,2,0,Somalia,Ethiopia,Somalia
Kenya,1,1,Burundi,TIEKenyaBurundi,TIEKenyaBurundi
Malawi,3,0,Djibouti,Malawi,Djibouti
SouthSudan,0,0,Sudan,TIESouthSudanSudan,TIESouthSudanSudan
Djibouti,0,4,Sudan,Sudan,Djibouti
Rwanda,3,0,Somalia,Rwanda,Somalia
SouthSudan,2,0,Malawi,SouthSudan,Malawi
Zanzibar,3,1,Kenya,Zanzibar,Kenya
Ethiopia,1,1,Tanzania,TIEEthiopiaTanzania,TIEEthiopiaTanzania
Uganda,1,0,Burundi,Uganda,Burundi
Ethiopia,1,1,Tanzania,TIEEthiopiaTanzania,TIEEthiopiaTanzania
Uganda,2,0,Malawi,Uganda,Malawi
Rwanda,0,0,Kenya,TIERwandaKenya,TIERwandaKenya
SouthSudan,0,0,Sudan,TIESouthSudanSudan,TIESouthSudanSudan
Ethiopia,0,0,Uganda,TIEEthiopiaUganda,TIEEthiopiaUganda
Rwanda,1,1,Sudan,TIERwandaSudan,TIERwandaSudan
Ethiopia,1,1,Sudan,TIEEthiopiaSudan,TIEEthiopiaSudan
Uganda,1,0,Rwanda,Uganda,Rwanda
Nicaragua,5,0,Cuba,Nicaragua,Cuba
Nicaragua,1,0,Cuba,Nicaragua,Cuba
Honduras,2,0,Cuba,Honduras,Cuba
